  Height    Lat     LonW  Temp    Pres      Dens      Uwind   Vwind
   4.000   37.50   36.00 203.20 4.117E+02 1.067E-02   39.25   -1.70 
   9.000   37.50   36.00 208.80 2.545E+02 6.416E-03   53.77    -.05
  14.000   37.50   36.00 206.84 1.582E+02 4.026E-03   60.54    1.87 
  19.000   37.50   36.00 199.81 9.634E+01 2.538E-03   62.27    6.53 
  24.000   37.50   36.00 192.60 5.817E+01 1.590E-03   58.25   14.69 
  29.000   37.50   36.00 185.28 3.456E+01 9.818E-04   51.53   25.35
  34.000   37.50   36.00 176.65 2.007E+01 5.981E-04   43.10   29.32 
  39.000   37.50   36.00 167.92 1.129E+01 3.542E-04   32.36   19.56 
  44.000   37.50   36.00 160.74 6.231E+00 2.042E-04   13.26    7.32
  49.000   37.50   36.00 155.36 3.369E+00 1.144E-04   -9.36   24.50 
  54.000   37.50   36.00 149.47 1.717E+00 6.066E-05  -31.53   43.07 
  59.000   37.50   36.00 148.20 8.915E-01 3.178E-05  -38.52   41.56 
  64.000   37.50   36.00 145.57 4.597E-01 1.670E-05  -25.80   30.86 
  69.000   37.50   36.00 142.16 2.307E-01 8.607E-06  -15.11   17.82 
  74.000   37.50   36.00 147.25 1.191E-01 4.276E-06   -5.97   12.31 
  79.000   37.50   36.00 155.74 5.869E-02 2.104E-06   -6.05   17.68 
  84.000   37.50   36.00 153.54 3.190E-02 1.110E-06   -3.72   12.07 
  89.000   37.50   36.00 146.55 1.736E-02 6.244E-07  -13.85   33.25 
  94.000   37.50   36.00 139.26 9.069E-03 3.453E-07  -38.95   66.54 
  99.000   37.50   36.00 135.08 4.631E-03 1.815E-07  -72.88   98.75
 104.000   37.50   36.00 132.84 2.313E-03 9.270E-08 -112.65  129.36 
