  Ls    0.3    1.0    3.0    Avg
   0 -0.002 -0.001 -0.003 -0.002
  30 -0.001  0.000  0.003  0.001
  60  0.001 -0.003 -0.002 -0.001
  90 -0.002 -0.002 -0.000 -0.001
 120  0.001 -0.002 -0.001 -0.001
 150  0.004 -0.002  0.011  0.004
 180 -0.003 -0.004 -0.002 -0.003
 210 -0.002  0.001 -0.001 -0.001
 240 -0.002 -0.001  0.018  0.005
 270 -0.002  0.004 -0.003 -0.001
 300 -0.001  0.008 -0.002  0.002
 330  0.033 -0.001 -0.003  0.010
 360 -0.002 -0.001 -0.003 -0.002
  Ls     y1     y2     Av
   0  -1.22  -1.25  -1.24
  30  -1.22   -.38   -.80
  60  -1.41  -1.78  -1.60
  90  -1.55  -1.57  -1.56
 120  -1.54  -1.46  -1.50
 150  -1.65  -1.51  -1.58
 180  -1.43  -1.25  -1.34
 210  -1.09   2.29    .60
 240    .49   1.27    .88
 270   -.26   -.08   -.17
 300  -1.06   -.80   -.93
 330  -1.12  -1.08  -1.10
 360  -1.22  -1.25  -1.24
