  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2
  30 -90.0 360 143.37   .01 11.9   .01  3.0
  30 -90.0 351 143.37   .01 12.5   .01  3.6
  30 -90.0 342 143.37   .01 13.1   .01  4.2
  30 -90.0 333 143.37   .01 13.7   .01  4.8
  30 -90.0 324 143.37   .01 14.3   .01  5.4
  30 -90.0 315 143.37   .01 14.9   .01  6.0
  30 -90.0 306 143.37   .01 15.5   .01  6.6
  30 -90.0 297 143.37   .01 16.1   .01  7.2
  30 -90.0 288 143.37   .01 16.7   .01  7.8
  30 -90.0 279 143.37   .01 17.3   .01  8.4
  30 -90.0 270 143.37   .01 17.9   .01  9.0
  30 -90.0 261 143.37   .01 18.5   .01  9.6
  30 -90.0 252 143.37   .01 19.1   .01 10.2
  30 -90.0 243 143.37   .01 19.7   .01 10.8
  30 -90.0 234 143.37   .01 20.3   .01 11.4
  30 -90.0 225 143.37   .01 20.9   .01   .0
  30 -90.0 216 143.37   .01 21.5   .01   .6
  30 -90.0 207 143.37   .01 22.1   .01  1.2
  30 -90.0 198 143.37   .01 22.7   .01  1.8
  30 -90.0 189 143.37   .01 23.3   .01  2.4
  30 -90.0 180 143.37   .01 23.9   .01  3.0
  30 -90.0 171 143.37   .01   .5   .01  3.6
  30 -90.0 162 143.37   .01  1.1   .01  4.2
  30 -90.0 153 143.37   .01  1.7   .01  4.8
  30 -90.0 144 143.37   .01  2.3   .01  5.4
  30 -90.0 135 143.37   .01  2.9   .01  6.0
  30 -90.0 126 143.37   .01  3.5   .01  6.6
  30 -90.0 117 143.37   .01  4.1   .01  7.2
  30 -90.0 108 143.37   .01  4.7   .01  7.8
  30 -90.0  99 143.37   .01  5.3   .01  8.4
  30 -90.0  90 143.37   .01  5.9   .01  9.0
  30 -90.0  81 143.37   .01  6.5   .01  9.6
  30 -90.0  72 143.37   .01  7.1   .01 10.2
  30 -90.0  63 143.37   .01  7.7   .01 10.8
  30 -90.0  54 143.37   .01  8.3   .01 11.4
  30 -90.0  45 143.37   .01  8.9   .01   .0
  30 -90.0  36 143.37   .01  9.5   .01   .6
  30 -90.0  27 143.37   .01 10.1   .01  1.2
  30 -90.0  18 143.37   .01 10.7   .01  1.8
  30 -90.0   9 143.37   .01 11.3   .01  2.4
  30 -82.5 360 144.07   .01  9.2   .00 10.8
  30 -82.5 351 144.09   .01 13.2   .00  2.7
  30 -82.5 342 144.13   .01 15.6   .02  1.8
  30 -82.5 333 144.15   .01  9.9   .01  5.2
  30 -82.5 324 144.15   .01 16.2   .01  5.0
  30 -82.5 315 144.16   .02 17.9   .00  6.4
  30 -82.5 306 144.19   .02 23.8   .01 10.1
  30 -82.5 297 144.20   .01  4.2   .01  6.5
  30 -82.5 288 144.20   .01 23.3   .01  9.8
  30 -82.5 279 144.17   .02 23.6   .00  1.3
  30 -82.5 270 144.14   .02 18.5   .01  8.2
  30 -82.5 261 144.17   .02 17.1   .01 10.3
  30 -82.5 252 144.24   .03 22.2   .01 10.0
  30 -82.5 243 144.28   .03  1.5   .00  1.4
  30 -82.5 234 144.26   .00 23.2   .00 10.2
  30 -82.5 225 144.23   .03 19.2   .01   .2
  30 -82.5 216 144.18   .01 20.9   .01  1.0
  30 -82.5 207 144.14   .02  3.0   .01   .6
  30 -82.5 198 144.10   .03   .9   .01  2.8
  30 -82.5 189 144.06   .02 23.4   .01  2.0
  30 -82.5 180 144.00   .02  2.0   .02  2.3
  30 -82.5 171 143.96   .03  3.1   .01  3.3
  30 -82.5 162 143.98   .02  2.6   .01  3.2
  30 -82.5 153 144.10   .01  2.4   .01  4.9
  30 -82.5 144 144.21   .01  2.1   .01  4.6
  30 -82.5 135 144.25   .02  4.3   .01  5.6
  30 -82.5 126 144.27   .02  3.6   .01  6.6
  30 -82.5 117 144.27   .02  3.5   .01  6.1
  30 -82.5 108 144.31   .02  5.2   .01  7.3
  30 -82.5  99 144.39   .02  4.6   .02  7.3
  30 -82.5  90 144.51   .02  7.2   .02  8.1
  30 -82.5  81 144.52   .01 11.9   .01  7.4
  30 -82.5  72 144.42   .01 10.6   .03  8.1
  30 -82.5  63 144.35   .01 10.6   .02  9.3
  30 -82.5  54 144.33   .01  5.8   .01  9.6
  30 -82.5  45 144.23   .01  8.9   .03  9.4
  30 -82.5  36 144.15   .01 11.3   .02 10.0
  30 -82.5  27 144.10   .01 12.4   .02  9.8
  30 -82.5  18 144.07   .01  8.6   .01 11.2
  30 -82.5   9 144.05   .01 11.4   .01  8.8
  30 -75.0 360 145.09   .01 16.5   .01 11.9
  30 -75.0 351 145.19   .01 16.7   .01  3.6
  30 -75.0 342 145.27   .02 20.8   .01  2.6
  30 -75.0 333 145.20   .03  1.4   .01  3.3
  30 -75.0 324 145.07   .01  3.4   .02  4.4
  30 -75.0 315 145.04   .02  3.5   .01  1.2
  30 -75.0 306 145.07   .02  6.8   .00  2.2
  30 -75.0 297 145.06   .01 16.7   .00  6.3
  30 -75.0 288 145.02   .03 21.9   .01  8.1
  30 -75.0 279 144.98   .03   .5   .02  8.1
  30 -75.0 270 144.93   .02   .6   .00  8.4
  30 -75.0 261 144.93   .04  1.8   .01  7.1
  30 -75.0 252 145.00   .03  5.0   .02  8.1
  30 -75.0 243 145.07   .02 22.9   .01  9.5
  30 -75.0 234 145.12   .04   .2   .01 10.9
  30 -75.0 225 145.11   .04  2.0   .01 11.5
  30 -75.0 216 145.02   .02  2.7   .01   .0
  30 -75.0 207 144.92   .02  1.1   .00  1.1
  30 -75.0 198 144.87   .03  1.4   .00  2.4
  30 -75.0 189 144.88   .02   .7   .01  3.9
  30 -75.0 180 144.87   .04  1.1   .01  1.9
  30 -75.0 171 144.85   .03  4.0   .01  2.2
