  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2
 030 -90.0  360 145.00    .00  1.4    .00  2.3
 030 -90.0  351 145.00    .00  1.2    .00  2.8
 030 -90.0  342 145.00    .00  1.6    .00  3.3
 030 -90.0  333 145.00    .00  2.2    .00  3.8
 030 -90.0  324 145.00    .00  2.6    .00  4.3
 030 -90.0  315 145.00    .00  3.2    .00  4.6
 030 -90.0  306 145.00    .00  4.2    .00  4.8
 030 -90.0  297 145.00    .00  5.2    .00  5.5
 030 -90.0  288 145.00    .00  6.0    .00  6.8
 030 -90.0  279 145.00    .00  5.8    .00  8.1
 030 -90.0  270 145.00    .00  5.1    .00  9.4
 030 -90.0  261 145.00    .00  4.5    .00 10.4
 030 -90.0  252 145.00    .00  4.1    .00 10.8
 030 -90.0  243 145.00    .00  4.1    .00 11.2
 030 -90.0  234 145.00    .00  4.6    .00 12.0
 030 -90.0  225 145.00    .00  4.9    .00   .4
 030 -90.0  216 145.00    .00  5.2    .00   .4
 030 -90.0  207 145.00    .00  5.8    .00   .5
 030 -90.0  198 145.00    .00  6.6    .00   .5
 030 -90.0  189 145.00    .00  6.8    .00   .7
 030 -90.0  180 145.00    .00  6.6    .00  1.2
 030 -90.0  171 145.00    .00  7.1    .00  1.7
 030 -90.0  162 145.00    .00  8.5    .00  2.0
 030 -90.0  153 145.00    .00 10.2    .00  2.2
 030 -90.0  144 145.00    .00 11.6    .00  2.4
 030 -90.0  135 145.00    .00 12.6    .00  2.3
 030 -90.0  126 145.00    .00 13.5    .00  1.9
 030 -90.0  117 145.00    .00 14.4    .00  1.8
 030 -90.0  108 145.00    .00 15.5    .00  1.5
 030 -90.0   99 145.00    .00 17.1    .00  1.2
 030 -90.0   90 145.00    .00 18.3    .00  1.4
 030 -90.0   81 145.00    .00 18.9    .00  1.9
 030 -90.0   72 145.00    .00 19.4    .00  2.2
 030 -90.0   63 145.00    .00 20.2    .00  2.4
 030 -90.0   54 145.00    .00 21.0    .00  2.7
 030 -90.0   45 145.00    .00 21.9    .00  2.6
 030 -90.0   36 145.00    .00 23.3    .00  2.2
 030 -90.0   27 145.00    .00   .7    .00  1.7
 030 -90.0   18 145.00    .00  1.5    .00  1.5
 030 -90.0    9 145.00    .00  1.7    .00  1.8
 030 -82.5  360 145.10    .01  1.4    .01  2.3
 030 -82.5  351 145.06    .01  1.2    .01  2.8
 030 -82.5  342 145.08    .01  1.6    .01  3.3
 030 -82.5  333 145.19    .01  2.2    .01  3.8
 030 -82.5  324 145.29    .01  2.6    .00  4.3
 030 -82.5  315 145.32    .01  3.2    .00  4.6
 030 -82.5  306 145.32    .01  4.2    .00  4.8
 030 -82.5  297 145.33    .01  5.2    .00  5.5
 030 -82.5  288 145.35    .01  6.0    .00  6.8
 030 -82.5  279 145.42    .01  5.8    .00  8.1
 030 -82.5  270 145.53    .01  5.1    .00  9.4
 030 -82.5  261 145.53    .01  4.5    .00 10.4
 030 -82.5  252 145.42    .01  4.1    .00 10.8
 030 -82.5  243 145.35    .01  4.1    .00 11.2
 030 -82.5  234 145.31    .01  4.6    .00 12.0
 030 -82.5  225 145.23    .01  4.9    .01   .4
 030 -82.5  216 145.16    .01  5.2    .01   .4
 030 -82.5  207 145.11    .01  5.8    .01   .5
 030 -82.5  198 145.07    .01  6.6    .01   .5
 030 -82.5  189 145.06    .01  6.8    .01   .7
 030 -82.5  180 145.08    .01  6.6    .01  1.2
 030 -82.5  171 145.10    .01  7.1    .01  1.7
 030 -82.5  162 145.14    .01  8.5    .01  2.0
 030 -82.5  153 145.17    .01 10.2    .01  2.2
 030 -82.5  144 145.18    .01 11.6    .01  2.4
 030 -82.5  135 145.22    .01 12.6    .01  2.3
 030 -82.5  126 145.30    .01 13.5    .01  1.9
 030 -82.5  117 145.34    .01 14.4    .01  1.8
 030 -82.5  108 145.33    .01 15.5    .00  1.5
 030 -82.5   99 145.29    .01 17.1    .01  1.2
 030 -82.5   90 145.26    .01 18.3    .01  1.4
 030 -82.5   81 145.27    .01 18.9    .01  1.9
 030 -82.5   72 145.33    .01 19.4    .01  2.2
 030 -82.5   63 145.36    .01 20.2    .01  2.4
 030 -82.5   54 145.33    .01 21.0    .01  2.7
 030 -82.5   45 145.30    .01 21.9    .00  2.6
 030 -82.5   36 145.26    .01 23.3    .00  2.2
 030 -82.5   27 145.21    .01   .7    .00  1.7
 030 -82.5   18 145.18    .01  1.5    .01  1.5
 030 -82.5    9 145.15    .01  1.7    .01  1.8
 030 -75.0  360 145.87    .04  3.5    .01  2.5
 030 -75.0  351 145.86    .04  4.2    .01  3.1
 030 -75.0  342 145.91    .03  4.8    .01  3.7
 030 -75.0  333 146.02    .02  4.6    .01  3.9
 030 -75.0  324 146.08    .02  3.9    .01  3.9
 030 -75.0  315 146.08    .03  4.3    .01  4.2
 030 -75.0  306 146.10    .04  4.9    .01  5.0
 030 -75.0  297 146.17    .04  5.4    .01  5.9
 030 -75.0  288 146.22    .03  5.8    .01  6.3
 030 -75.0  279 146.24    .02  5.9    .01  6.5
 030 -75.0  270 146.22    .02  5.4    .01  6.4
 030 -75.0  261 146.17    .01  4.3    .01  6.6
 030 -75.0  252 146.18    .02  3.1    .01  7.1
 030 -75.0  243 146.23    .02  2.8    .01  7.9
 030 -75.0  234 146.21    .02  2.8    .01  8.8
 030 -75.0  225 146.05    .03  3.1    .01  9.3
 030 -75.0  216 145.91    .03  3.5    .01  9.7
 030 -75.0  207 145.86    .02  3.9    .01  9.9
 030 -75.0  198 145.84    .03  4.0    .01 10.3
 030 -75.0  189 145.83    .03  4.2    .01 10.6
 030 -75.0  180 145.87    .03  4.7    .01 11.0
 030 -75.0  171 145.98    .03  5.0    .01 12.0
 030 -75.0  162 146.08    .03  5.5    .01   .9
 030 -75.0  153 146.03    .03  6.3    .01  1.5
 030 -75.0  144 145.93    .02  7.2    .01  1.7
 030 -75.0  135 145.92    .01  7.7    .01  2.0
 030 -75.0  126 146.00    .01  6.9    .01  2.7
 030 -75.0  117 146.02    .01  6.1    .01  3.4
 030 -75.0  108 145.99    .01  5.6    .01  3.6
