  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -90.0 360 143.91   .02 12.2   .02  2.4     .0   .0 12.0   .0 12.0     .0   .0 12.0   .0 12.0
  30 -90.0 351 143.91   .02 12.8   .02  3.0     .0   .0 12.6   .0   .6     .0   .0 12.6   .0   .6
  30 -90.0 342 143.91   .02 13.4   .02  3.6     .0   .0 13.2   .0  1.2     .0   .0 13.2   .0  1.2
  30 -90.0 333 143.91   .02 14.0   .02  4.2     .0   .0 13.8   .0  1.8     .0   .0 13.8   .0  1.8
  30 -90.0 324 143.91   .02 14.6   .02  4.8     .0   .0 14.4   .0  2.4     .0   .0 14.4   .0  2.4
  30 -90.0 315 143.91   .02 15.2   .02  5.4     .0   .0 15.0   .0  3.0     .0   .0 15.0   .0  3.0
  30 -90.0 306 143.91   .02 15.8   .02  6.0     .0   .0 15.6   .0  3.6     .0   .0 15.6   .0  3.6
  30 -90.0 297 143.91   .02 16.4   .02  6.6     .0   .0 16.2   .0  4.2     .0   .0 16.2   .0  4.2
  30 -90.0 288 143.91   .02 17.0   .02  7.2     .0   .0 16.8   .0  4.8     .0   .0 16.8   .0  4.8
  30 -90.0 279 143.91   .02 17.6   .02  7.8     .0   .0 17.4   .0  5.4     .0   .0 17.4   .0  5.4
  30 -90.0 270 143.91   .02 18.2   .02  8.4     .0   .0 18.0   .0  6.0     .0   .0 18.0   .0  6.0
  30 -90.0 261 143.91   .02 18.8   .02  9.0     .0   .0 18.6   .0  6.6     .0   .0 18.6   .0  6.6
  30 -90.0 252 143.91   .02 19.4   .02  9.6     .0   .0 19.2   .0  7.2     .0   .0 19.2   .0  7.2
  30 -90.0 243 143.91   .02 20.0   .02 10.2     .0   .0 19.8   .0  7.8     .0   .0 19.8   .0  7.8
  30 -90.0 234 143.91   .02 20.6   .02 10.8     .0   .0 20.4   .0  8.4     .0   .0 20.4   .0  8.4
  30 -90.0 225 143.91   .02 21.2   .02 11.4     .0   .0 21.0   .0  9.0     .0   .0 21.0   .0  9.0
  30 -90.0 216 143.91   .02 21.8   .02 12.0     .0   .0 21.6   .0  9.6     .0   .0 21.6   .0  9.6
  30 -90.0 207 143.91   .02 22.4   .02   .6     .0   .0 22.2   .0 10.2     .0   .0 22.2   .0 10.2
  30 -90.0 198 143.91   .02 23.0   .02  1.2     .0   .0 22.8   .0 10.8     .0   .0 22.8   .0 10.8
  30 -90.0 189 143.91   .02 23.6   .02  1.8     .0   .0 23.4   .0 11.4     .0   .0 23.4   .0 11.4
  30 -90.0 180 143.91   .02   .2   .02  2.4     .0   .0   .0   .0   .0     .0   .0   .0   .0   .0
