  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -90.0  360 149.57    .00   .1    .00  5.4   -2.5    .0  9.4    .0  -.6     .0    .0   .0    .0   .0
 030 -90.0  351 149.57    .00   .9    .00 10.8   -2.5    .0 11.5    .0   .1     .0    .0   .0    .0   .0
 030 -90.0  342 149.57    .00   .9    .00  1.0   -2.5    .0 12.5    .0   .8     .0    .0   .0    .0   .0
 030 -90.0  333 149.57    .00 13.8    .00 -3.8   -2.5    .0 12.5    .0  1.6     .0    .0   .0    .0   .0
 030 -90.0  324 149.57    .00 13.7    .00 -2.4   -2.5    .0  7.3    .0  4.3     .0    .0   .0    .0   .0
 030 -90.0  315 149.57    .00 13.5    .00  -.7   -2.5    .0  5.1    .0  7.2     .0    .0   .0    .0   .0
 030 -90.0  306 149.57    .00 13.0    .00  1.3   -2.5    .0  5.1    .0  7.9     .0    .0   .0    .0   .0
 030 -90.0  297 149.57    .00 10.7    .00  3.6   -2.5    .0  5.8    .0  8.2     .0    .0   .0    .0   .0
 030 -90.0  288 149.57    .00  7.0    .00  5.7   -2.5    .0  7.6    .0  8.6     .0    .0   .0    .0   .0
 030 -90.0  279 149.57    .00  4.9    .00 10.8   -2.5    .0 10.9    .0  9.2     .0    .0   .0    .0   .0
 030 -90.0  270 149.57    .00  3.2    .00  9.8   -2.5    .0 14.0    .0 10.0     .0    .0   .0    .0   .0
 030 -90.0  261 149.57    .00  2.6    .00 10.9   -2.5    .0 14.2    .0 10.8     .0    .0   .0    .0   .0
 030 -90.0  252 149.57    .00   .8    .00 11.2   -2.5    .0 13.7    .0 11.9     .0    .0   .0    .0   .0
 030 -90.0  243 149.57    .00 23.7    .00 11.4   -2.5    .0 19.6    .0 13.4     .0    .0   .0    .0   .0
 030 -90.0  234 149.57    .00 23.8    .00 11.5   -2.5    .0 21.6    .0 14.8     .0    .0   .0    .0   .0
 030 -90.0  225 149.57    .00   .2    .00 10.8   -2.5    .0 22.8    .0 15.9     .0    .0   .0    .0   .0
 030 -90.0  216 149.57    .00 23.3    .00 10.1   -2.5    .0   .0    .0 16.4     .0    .0   .0    .0   .0
 030 -90.0  207 149.57    .00 17.5    .00  3.9   -2.5    .0  1.3    .0 16.3     .0    .0   .0    .0   .0
 030 -90.0  198 149.57    .00 17.0    .00  4.4   -2.5    .0  3.3    .0 13.3     .0    .0   .0    .0   .0
 030 -90.0  189 149.57    .00 16.4    .00  5.1   -2.5    .0 11.3    .0 12.5     .0    .0   .0    .0   .0
 030 -90.0  180 149.57    .00 15.4    .00   .2   -2.5    .0 12.7    .0 12.9     .0    .0   .0    .0   .0
