  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  80 -90.0 102.03  1.91  4.8  1.05   .5 4.326E-03  6.51  1.0  1.34 11.0 2.241E-07
  30  75 -90.0 113.42  1.91  4.8  1.05   .5 1.074E-02  6.51  1.0  1.34 11.0 5.006E-07
  30  70 -90.0 124.81  2.06   .9  1.20 10.4 2.444E-02  5.37  2.0  1.20  7.9 1.036E-06
  30  65 -90.0 134.76  2.47 19.9  1.73  4.9 5.230E-02  4.62  3.8   .75   .3 2.053E-06
  30  60 -90.0 140.09  1.99 23.2   .80   .9 1.069E-01  3.90   .8   .61 10.6 4.037E-06
  30  55 -90.0 147.47  1.63 14.1  1.93 10.8 2.117E-01  3.62  2.8   .89  1.0 7.597E-06
  30  50 -90.0 150.25  4.51  1.4  3.27  6.2 4.100E-01  2.85  1.9  1.55   .2 1.445E-05
  30  45 -90.0 148.14  2.73 23.5  2.81  8.6 7.928E-01  1.84  1.8  1.79 10.3 2.832E-05
  30  40 -90.0 140.43  2.72 20.4  1.12   .8 1.571E+00   .88 22.7  1.15  9.7 5.920E-05
  30  35 -90.0 129.97   .06 22.1  1.07 11.1 3.260E+00   .71 11.8   .78   .0 1.327E-04
  30  30 -90.0 126.21   .79  3.2   .74 10.5 7.045E+00   .59   .9   .32  1.1 2.953E-04
  30  25 -90.0 127.73   .35  1.3   .20 11.8 1.530E+01   .34 19.5   .11   .0 6.336E-04
  30  20 -90.0 130.70   .13  4.9   .10   .7 3.278E+01   .24 20.8   .13 11.1 1.327E-03
  30  15 -90.0 134.50   .02  5.4   .14 11.5 6.883E+01   .25 23.4   .04   .1 2.708E-03
  30  10 -90.0 138.63   .04 14.8   .05  1.4 1.416E+02   .25 18.3   .02 11.1 5.404E-03
  30   5 -90.0 143.32   .11   .6   .29  2.4 2.847E+02   .25 22.4   .08 11.2 1.051E-02
  30   0 -90.0 148.02   .11   .6   .29  2.4 5.597E+02   .25 22.4   .08 11.2 2.001E-02
  30  80 -82.5  97.53  2.89 19.5  2.17  1.0 4.172E-03  9.29 20.6  7.11   .2 2.253E-07
  30  75 -82.5 110.19  2.89 19.5  2.17  1.0 1.073E-02  9.29 20.6  7.11   .2 5.129E-07
  30  70 -82.5 122.85  3.58 19.7  2.78   .6 2.490E-02  7.67 21.0  5.77   .2 1.070E-06
  30  65 -82.5 133.49  4.06 18.8  3.09  1.1 5.365E-02  6.54 21.8  4.62   .0 2.125E-06
  30  60 -82.5 140.35  5.57 19.2  2.70  2.3 1.102E-01  5.56 23.3  3.81 11.8 4.154E-06
  30  55 -82.5 145.84  5.43 21.7  2.90 11.6 2.192E-01  4.81  1.6  3.16 11.7 7.956E-06
  30  50 -82.5 146.27  5.40   .2  2.34 11.4 4.304E-01  3.81  5.8  2.59 11.8 1.558E-05
  30  45 -82.5 143.12  5.64  6.8  2.08 11.1 8.501E-01  2.75  9.3  2.07 11.9 3.144E-05
  30  40 -82.5 137.65  3.81  7.8  1.97 11.6 1.716E+00  2.12 16.3  1.46   .4 6.595E-05
  30  35 -82.5 133.39  2.17 14.1  1.21   .6 3.550E+00  1.43 18.6   .93   .5 1.407E-04
  30  30 -82.5 130.68  1.36 17.9   .88 11.2 7.484E+00   .80 20.1   .61   .7 3.029E-04
  30  25 -82.5 130.91   .70 20.6   .55 11.5 1.589E+01   .46 20.8   .40  1.6 6.420E-04
  30  20 -82.5 133.08   .56 23.1   .43  1.4 3.352E+01   .35 20.7   .31  2.2 1.333E-03
  30  15 -82.5 136.38   .37 22.7   .36  1.6 6.952E+01   .31 19.5   .19  3.4 2.697E-03
  30  10 -82.5 140.10   .28 18.5   .27  3.1 1.418E+02   .30 18.2   .16  5.6 5.356E-03
  30   5 -82.5 144.54   .47 18.0   .24  4.4 2.833E+02   .27 19.6   .14  6.5 1.037E-02
  30   0 -82.5 148.99   .47 18.0   .24  4.4 5.543E+02   .27 19.6   .14  6.5 1.968E-02
  30  80 -75.0 115.80  4.75 18.9  2.12  6.4 1.018E-02  9.93 19.6  5.98  9.9 4.637E-07
  30  75 -75.0 122.06  4.47 18.5  3.06  8.4 1.863E-02  9.76 18.5  6.19 11.0 8.029E-07
  30  70 -75.0 131.31  4.16 18.6  3.59  9.9 4.043E-02  8.07 18.4  4.82 11.3 1.625E-06
  30  65 -75.0 140.21  4.81 16.0  3.36 10.9 8.349E-02  7.04 18.3  3.75 11.5 3.148E-06
  30  60 -75.0 147.50  5.54 15.7  2.70 10.7 1.655E-01  6.15 18.6  3.10 11.7 5.929E-06
  30  55 -75.0 153.27  5.70 16.4  2.66 11.3 3.183E-01  5.26 19.2  2.37   .1 1.096E-05
  30  50 -75.0 155.16  6.47 18.3  2.43   .1 6.017E-01  4.10 20.0  1.76   .8 2.046E-05
  30  45 -75.0 153.47  4.73 19.9  1.99  3.3 1.136E+00  3.10 20.6  1.41  1.3 3.905E-05
  30  40 -75.0 147.83  3.48 23.4  1.42  4.6 2.181E+00  2.08 20.0  1.19   .6 7.782E-05
  30  35 -75.0 141.88  1.99  4.6  1.12  2.1 4.297E+00  1.28 18.9   .92 11.8 1.600E-04
  30  30 -75.0 136.98   .95 15.3   .93 10.8 8.698E+00  1.05 19.1   .60 11.6 3.357E-04
  30  25 -75.0 134.69   .83 18.4   .47 11.6 1.797E+01   .77 19.8   .42   .5 7.056E-04
  30  20 -75.0 136.17   .61 19.6   .37   .4 3.719E+01   .54 20.5   .31  4.8 1.444E-03
  30  15 -75.0 140.05   .48 20.0   .29  1.9 7.575E+01   .50 21.4   .24  6.4 2.859E-03
  30  10 -75.0 144.61   .39 18.9   .25  3.5 1.512E+02   .51   .9   .19  7.2 5.528E-03
  30   5 -75.0 149.52   .97 11.8   .38  9.7 2.955E+02   .38  2.6   .15  7.3 1.045E-02
  30   0 -75.0 154.43   .97 11.8   .38  9.7 5.651E+02   .38  2.6   .15  7.3 1.935E-02
  30  80 -67.5 119.11  4.70 16.2  3.06   .9 1.342E-02 11.26 17.2  6.82 11.9 5.939E-07
  30  75 -67.5 126.51  5.44 13.4  3.47  1.7 2.951E-02 10.20 17.7  5.78 11.4 1.234E-06
  30  70 -67.5 134.64  6.56 13.9  3.67  3.6 6.287E-02  9.64 18.8  4.87 11.1 2.474E-06
  30  65 -67.5 141.62  6.89 16.6  2.97  6.3 1.284E-01  8.71 19.7  4.14 11.2 4.810E-06
  30  60 -67.5 147.91  6.87 17.6  3.20 10.4 2.541E-01  7.13 20.5  3.41 11.4 9.116E-06
  30  55 -67.5 154.28  6.38 18.3  3.23 12.0 4.885E-01  5.59 21.4  2.64 11.5 1.678E-05
  30  50 -67.5 160.13  5.79 20.5  2.50 11.4 9.141E-01  4.17 22.1  2.00 11.3 3.019E-05
  30  45 -67.5 161.33  4.96 23.1  2.61 11.2 1.685E+00  2.83 22.1  1.32 11.3 5.514E-05
  30  40 -67.5 157.95  3.39  3.5  1.29 11.5 3.116E+00  1.85 17.6   .98 11.3 1.041E-04
  30  35 -67.5 150.48  2.07  8.7   .92  9.7 5.889E+00  1.60 18.1   .83 11.6 2.066E-04
  30  30 -67.5 144.48  1.34 14.3   .68 11.4 1.148E+01  1.62 19.3   .60   .5 4.195E-04
  30  25 -67.5 142.91  1.34 18.3   .45  1.2 2.275E+01  1.29 20.4   .40  1.2 8.411E-04
  30  20 -67.5 145.27  1.17 19.8   .39  2.1 4.501E+01   .87 21.4   .28   .9 1.637E-03
  30  15 -67.5 149.79   .80 20.4   .24  1.3 8.756E+01   .64 23.2   .21  7.4 3.088E-03
  30  10 -67.5 154.34   .51 20.7   .26  1.6 1.672E+02   .53  2.4   .17  7.4 5.725E-03
  30   5 -67.5 158.71   .96 22.3   .36  2.4 3.134E+02   .45  4.2   .14  7.5 1.044E-02
  30   0 -67.5 163.07   .96 22.3   .36  2.4 5.775E+02   .45  4.2   .14  7.5 1.872E-02
  30  80 -60.0 122.22  5.57 14.4  3.61  1.4 1.788E-02 10.63 16.6  7.43   .5 7.723E-07
  30  75 -60.0 129.00  6.91 12.4  3.82  1.8 3.918E-02  9.87 17.7  6.22   .2 1.609E-06
  30  70 -60.0 135.92  8.23 14.1  4.86  1.9 8.260E-02  9.53 19.2  4.96 11.7 3.227E-06
  30  65 -60.0 141.46  9.70 16.8  3.47  1.3 1.685E-01  8.15 21.1  4.19 11.3 6.333E-06
  30  60 -60.0 145.63  8.00 19.1  3.01 11.1 3.358E-01  6.77 23.1  3.74 11.3 1.225E-05
  30  55 -60.0 150.14  7.57 22.0  2.73 11.6 6.556E-01  4.78   .6  3.06 11.4 2.319E-05
