  Ls Hgt   Lat   TA0K   TA1K  Tp1  TA2K  Tp2     DA0     DA1%  Dp1  DA2%  Dp2     PA0
 030  80 -90.0  165.00   .00 15.8   .00  4.0  4.063E-07   .00 13.2   .00  6.1  1.271E-02
 030  75 -90.0  165.00   .00 15.8   .00  4.0  7.530E-07   .00 13.2   .00  6.1  2.357E-02
 030  70 -90.0  161.34   .00 15.8   .00  4.0  1.411E-06   .00 13.2   .00  6.1  4.313E-02
 030  65 -90.0  152.56   .00 14.9   .00  5.5  2.658E-06   .00 13.8   .00  7.0  7.696E-02
 030  60 -90.0  147.05   .00 13.3   .00  6.1  5.323E-06   .00 12.7   .00  6.3  1.483E-01
 030  55 -90.0  141.56   .00 14.5   .00  5.3  1.095E-05   .00 13.4   .00  6.0  2.938E-01
 030  50 -90.0  135.60   .00 13.0   .00  7.3  2.327E-05   .00  8.5   .00  5.2  5.990E-01
 030  45 -90.0  132.50   .00 13.3   .00  6.4  4.965E-05   .00  9.1   .00  6.1  1.250E+00
 030  40 -90.0  128.05   .00 10.2   .00  5.9  1.093E-04   .00 14.7   .00  4.4  2.658E+00
 030  35 -90.0  125.45   .00 13.9   .00  5.3  2.424E-04   .00 10.5   .00  5.8  5.779E+00
 030  30 -90.0  126.72   .00 12.4   .00  5.5  5.242E-04   .00  9.1   .00  5.4  1.262E+01
 030  25 -90.0  131.89   .00 11.9   .00  5.6  1.080E-03   .00 10.8   .00  6.8  2.706E+01
 030  20 -90.0  141.46   .00 10.5   .00  4.9  2.069E-03   .00 11.8   .00  7.5  5.561E+01
 030  15 -90.0  152.11   .00  6.4   .00  6.1  3.772E-03   .00 11.8   .00  5.7  1.090E+02
 030  10 -90.0  166.29   .00 12.7   .00  6.9  6.393E-03   .00  8.0   .00  5.4  2.020E+02
 030   9 -90.0  169.29   .00 11.5   .00  6.7  7.069E-03   .00  9.8   .00  5.9  2.274E+02
 030   8 -90.0  172.12   .00 12.5   .00  6.3  7.811E-03   .00  7.8   .00  6.8  2.554E+02
 030   7 -90.0  174.68   .00 11.6   .00  5.6  8.615E-03   .00  7.4   .00  6.5  2.859E+02
 030   6 -90.0  176.91   .00 13.3   .00  5.3  9.524E-03   .00  6.8   .00  7.2  3.201E+02
 030   5 -90.0  177.40   .00 12.0   .00  5.3  1.061E-02   .00  6.8   .00  6.0  3.577E+02
