  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2   PA0      PA1%  Pp1  PA2%  Pp2    DA0     DA1%  Dp1  DA2%  Dp2
  30  80 -87.5 106.78   .41 16.5   .00 14.1 6.332E-03    .4 16.9    .0 22.2 2.949E-07    .0 18.4    .0 21.3
  30  85 -87.5 102.82   .76 16.5   .00 14.1 2.644E-03    .6 16.8    .0 22.7 1.275E-07    .1 18.4    .0 21.3
  30  90 -87.5 101.27  1.13 16.0   .00 13.3 1.081E-03   1.3 16.7    .0 13.1 5.265E-08    .7 17.6    .0 21.5
  30  95 -87.5 102.29  1.18 15.5   .00 12.2 4.441E-04   2.4 16.3    .0 13.1 2.120E-08   1.7 16.8    .0 13.8
  30 100 -87.5 105.35  1.08 15.7   .00 23.0 1.878E-04   3.4 16.0    .0 12.5 8.577E-09   2.7 16.2    .0 13.3
  30 105 -87.5 108.95  1.32 16.4   .01 22.1 8.295E-05   3.7 16.0    .0 12.2 3.578E-09   3.5 15.9    .0 12.6
  30 110 -87.5 112.15  1.96 16.7   .02 21.7 3.855E-05   4.4 16.1    .0 11.7 1.555E-09   3.8 15.9    .0 12.2
  30 115 -87.5 114.64  2.66 16.7   .02 22.0 1.884E-05   4.7 16.2    .0 11.5 7.047E-10   4.5 16.1    .0 11.8
  30 120 -87.5 116.35  3.28 16.6   .02 22.7 9.738E-06   5.4 16.4    .0 11.2 3.337E-10   5.1 16.2    .0 11.6
  30 125 -87.5 117.46  3.69 16.5   .01 11.4 5.350E-06   5.4 16.6    .0 11.0 1.658E-10   5.8 16.4    .0 11.4
  30 130 -87.5 118.19  3.98 16.5   .01 11.8 3.120E-06   5.3 16.7    .0 22.8 8.641E-11   6.1 16.5    .0 11.3
  30 135 -87.5 118.68  4.17 16.4   .01 12.1 1.925E-06   4.9 16.8    .1 22.6 4.753E-11   6.0 16.6    .0 11.2
  30 140 -87.5 119.01  4.30 16.4   .00 12.2 1.248E-06   4.3 17.0    .1 22.3 2.762E-11   5.4 16.7    .0 21.8
  30 145 -87.5 119.25  4.39 16.3   .01 12.2 8.410E-07   4.3 17.0    .1 22.3 1.688E-11   4.7 16.9    .2 18.9
  30 150 -87.5 119.41  4.44 16.3   .00 12.3 5.666E-07   4.3 17.0    .1 22.3 1.102E-11   4.2 17.1    .0 21.4
  30 155 -87.5 119.53  4.49 16.3   .00 12.3 3.817E-07   4.3 17.0    .1 22.3 7.455E-12   3.3 17.3    .1 21.4
  30 160 -87.5 119.62  4.53 16.3   .00 12.3 2.572E-07   4.3 17.0    .1 22.3 5.167E-12   2.9 17.5    .1 20.6
  30 165 -87.5 119.69  4.56 16.3   .00 12.3 1.733E-07   4.3 17.0    .1 22.3 3.722E-12   3.1 17.6    .1 21.5
  30 170 -87.5 119.74  4.58 16.3   .00 12.4 1.167E-07   4.3 17.0    .1 22.3 2.706E-12   3.1 17.6    .2 21.4
  30  80 -82.5 107.52   .78 16.7   .05 14.1 6.751E-03    .8 17.0    .1 22.2 3.123E-07    .1 18.2    .1 21.3
  30  85 -82.5 103.62  1.40 16.7   .17 14.1 2.833E-03   1.2 17.0    .1 22.7 1.357E-07    .3 18.2    .2 21.3
  30  90 -82.5 101.85  2.02 16.2   .27 13.3 1.165E-03   2.6 16.8    .2 13.1 5.651E-08   1.3 17.6    .0 21.5
  30  95 -82.5 102.47  2.14 15.9   .31 12.2 4.796E-04   4.6 16.5    .5 13.1 2.291E-08   3.0 16.9    .3 13.8
  30 100 -82.5 105.42  2.10 16.1   .29 23.0 2.023E-04   6.3 16.3    .7 12.5 9.271E-09   4.8 16.4    .6 13.3
  30 105 -82.5 109.40  2.65 16.7   .26 22.1 8.937E-05   7.1 16.3    .8 12.2 3.861E-09   6.1 16.2    .8 12.6
  30 110 -82.5 113.17  3.77 16.8   .22 21.7 4.142E-05   8.6 16.5    .8 11.7 1.672E-09   7.0 16.3    .9 12.2
  30 115 -82.5 116.16  4.91 16.7   .17 22.0 2.029E-05   9.5 16.5    .8 11.5 7.595E-10   8.5 16.4    .9 11.8
  30 120 -82.5 118.31  5.91 16.6   .16 22.7 1.045E-05  10.3 16.6    .8 11.3 3.596E-10   9.9 16.6    .7 11.6
  30 125 -82.5 119.69  6.62 16.5   .15 11.4 5.730E-06  11.3 16.8    .7 11.0 1.789E-10  11.3 16.7    .6 11.4
  30 130 -82.5 120.60  7.10 16.4   .17 11.8 3.324E-06  11.1 16.8    .6 22.8 9.323E-11  12.1 16.7    .5 11.3
  30 135 -82.5 121.22  7.42 16.4   .19 12.1 2.038E-06  10.6 16.9    .6 22.6 5.109E-11  12.2 16.8    .3 11.2
  30 140 -82.5 121.64  7.64 16.3   .22 12.2 1.312E-06   9.7 17.0    .6 22.3 2.948E-11  11.6 16.9    .1 21.8
  30 145 -82.5 121.94  7.79 16.3   .24 12.2 8.826E-07   9.7 17.0    .6 22.3 1.796E-11  10.8 17.0    .2 18.9
  30 150 -82.5 122.14  7.90 16.3   .25 12.3 5.939E-07   9.7 17.0    .6 22.3 1.163E-11   9.6 17.1    .3 21.4
  30 155 -82.5 122.30  7.98 16.2   .25 12.3 3.996E-07   9.7 17.0    .6 22.3 7.788E-12   8.1 17.3    .4 21.4
  30 160 -82.5 122.42  8.04 16.2   .26 12.3 2.689E-07   9.7 17.0    .6 22.3 5.377E-12   7.6 17.5    .4 20.6
  30 165 -82.5 122.50  8.09 16.2   .26 12.3 1.809E-07   9.7 17.0    .6 22.3 3.859E-12   7.4 17.5    .7 21.5
  30 170 -82.5 122.56  8.12 16.2   .27 12.4 1.217E-07   9.7 17.0    .6 22.3 2.797E-12   7.4 17.6    .8 21.4
  30  80 -77.5 109.32  1.45 16.9   .12 14.4 7.955E-03   1.0 17.1    .3 22.0 3.621E-07    .2 17.8    .3 21.2
  30  85 -77.5 105.27  2.45 16.9   .37 14.4 3.386E-03   2.4 17.1    .2 22.4 1.598E-07    .7 17.8    .3 21.2
  30  90 -77.5 103.11  3.49 16.6   .61 13.5 1.410E-03   5.0 17.0    .4 13.7 6.768E-08   2.2 17.6    .1 20.4
  30  95 -77.5 102.99  3.87 16.5   .69 12.4 5.833E-04   6.7 16.9    .7 13.7 2.785E-08   4.9 17.1    .5 14.4
  30 100 -77.5 105.60  3.99 16.8   .65 11.1 2.462E-04  10.2 16.8   1.3 13.1 1.133E-08   7.8 16.7   1.2 13.6
  30 105 -77.5 109.84  5.06 17.1   .58 22.2 1.080E-04  13.2 16.8   1.6 12.4 4.703E-09  10.1 16.7   1.5 12.9
  30 110 -77.5 114.40  7.00 17.0   .49 22.2 4.985E-05  14.8 16.9   1.6 12.1 2.026E-09  12.2 16.8   1.5 12.4
