  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  80 -87.5 110.68   .63 17.9   .22 11.3 5.729E-03   4.94  14.4   2.34  13.9 2.692E-07   4.51  13.6   2.25  13.9
  30  85 -87.5 105.46  1.84 17.9   .10 11.3 2.460E-03   5.17  14.4   2.41  13.9 1.209E-07   4.56  13.6   2.46  13.9
  30  90 -87.5 108.43  5.71 17.3   .34 22.1 1.044E-03   6.14  15.2   2.38  13.9 4.978E-08   3.69  13.2   2.73  14.0
  30  95 -87.5 117.74 11.62 17.1   .52 21.8 4.692E-04  11.40  16.2   2.12  13.9 2.055E-08   3.99  14.5   2.41  13.6
  30 100 -87.5 128.18 14.46 16.8   .59 19.4 2.266E-04  16.46  16.5   1.99  13.9 9.067E-09  10.61  16.4   2.51  12.6
  30 105 -87.5 140.23 11.19 16.2  1.22 17.8 1.164E-04  26.86  16.6   1.72  13.8 4.206E-09  20.54  16.7   2.25  12.1
  30 110 -87.5 153.04  7.23 15.3  1.25 17.1 6.411E-05  29.58  16.5   1.57  13.8 2.087E-09  27.85  16.7   1.65  15.6
  30 115 -87.5 163.16  5.26 14.3   .87 16.8 3.717E-05  30.86  16.4   1.46  13.7 1.115E-09  31.63  16.6   1.93  16.5
  30 120 -87.5 169.99  4.68 13.6   .49 16.8 2.232E-05  30.84  16.3   1.36  13.6 6.304E-10  33.29  16.4   2.51  16.4
  30 125 -87.5 174.40  4.73 13.3   .23 17.2 1.375E-05  30.05  16.2   1.28  13.5 3.699E-10  33.73  16.3   2.93  16.3
  30 130 -87.5 177.26  5.04 13.2   .14 18.6 8.650E-06  28.49  16.0   1.20  13.4 2.226E-10  33.41  16.2   3.16  16.2
  30 135 -87.5 179.13  5.44 13.2   .14 20.2 5.548E-06  26.29  15.8   1.11  13.2 1.366E-10  32.62  16.1   3.27  16.1
  30 140 -87.5 180.38  5.85 13.3   .14 20.8 3.627E-06  26.29  15.8   1.11  13.2 8.513E-11  31.48  16.0   3.30  16.0
  30 145 -87.5 181.10  6.24 13.4   .11 20.9 2.431E-06  23.46  15.6   1.00  12.9 5.413E-11  29.96  15.8   3.17  15.9
  30 150 -87.5 181.56  6.60 13.5   .07 20.9 1.664E-06  20.00  15.2    .88  12.3 3.499E-11  27.96  15.6   2.90  15.8
  30 155 -87.5 181.85  6.88 13.6   .05 20.8 1.161E-06  16.04  14.7    .74  11.5 2.299E-11  25.44  15.4   2.80  15.6
  30 160 -87.5 182.03  7.08 13.6   .05 20.6 8.253E-07  16.04  14.7    .74  11.5 1.534E-11  23.17  15.2   2.79  15.5
  30 165 -87.5 182.12  7.24 13.6   .03 20.0 6.052E-07  11.93  13.8    .60  22.6 1.054E-11  20.09  14.8   2.29  15.3
  30 170 -87.5 182.19  7.38 13.6   .02 18.8 4.491E-07   8.87  12.0    .47  21.9 7.338E-12  16.77  14.5   2.05  14.9
  30 175 -87.5 182.23  7.48 13.6   .02 17.1 3.406E-07   8.87  12.0    .47  21.9 5.237E-12  14.12  13.8   1.80  14.0
  30 180 -87.5 182.26  7.56 13.6   .01 16.6 2.621E-07   8.67  33.6    .39  21.6 3.810E-12  11.20  13.1   1.61  13.2
  30 185 -87.5 182.29  7.62 13.7   .02 16.0 2.045E-07   8.67  33.6    .39  21.6 2.824E-12   9.83  11.7   1.57  12.9
  30 190 -87.5 182.31  7.67 13.7   .01 16.1 1.614E-07  11.04  32.0    .38  21.3 2.133E-12   8.55  10.6   1.41  12.3
  30 195 -87.5 182.32  7.71 13.7   .01 15.8 1.289E-07  11.04  32.0    .38  21.3 1.642E-12   9.86  32.9   1.20  12.8
  30 200 -87.5 182.33  7.74 13.7   .01 15.9 1.033E-07  13.78  31.2    .38  21.2 1.275E-12  10.87  31.9    .71  13.0
  30 205 -87.5 182.34  7.77 13.7   .01 15.7 8.388E-08  13.78  31.2    .38  21.2 1.010E-12  12.93  31.2   1.09  15.1
  30 210 -87.5 182.35  7.78 13.7   .01 15.9 6.808E-08  13.78  31.2    .38  21.2 8.009E-13  14.81  30.8   1.34  15.7
  30 215 -87.5 182.35  7.80 13.7   .00 15.6 5.579E-08  15.81  31.0    .34  21.1 6.457E-13  15.99  30.6   1.80  16.1
  30 220 -87.5 182.35  7.81 13.7   .00 15.7 4.578E-08  15.81  31.0    .34  21.1 5.219E-13  17.48  30.4   2.00  16.2
  30 225 -87.5 182.36  7.82 13.7   .00 15.1 3.765E-08  17.01  31.1    .25  21.0 4.247E-13  17.46  30.4   2.56  16.3
  30 230 -87.5 182.36  7.82 13.7   .00 13.0 3.109E-08  17.01  31.1    .25  21.0 3.500E-13  17.43  30.5   2.63  16.4
  30 235 -87.5 182.36  7.82 13.7   .00 13.0 2.567E-08  17.01  31.1    .25  21.0 2.884E-13  17.41  30.5   2.67  16.4
  30 240 -87.5 182.36  7.83 13.7   .00 13.0 2.126E-08  17.49  31.1    .24  21.0 2.384E-13  17.13  30.5   2.65  16.4
  30  80 -82.5 114.23  1.11 18.2   .29 11.3 6.274E-03   7.88  14.4   2.41  13.9 2.857E-07   6.94  13.5   2.29  13.9
  30  85 -82.5 110.27  3.28 18.2   .22 11.3 2.778E-03   8.24  14.4   2.46  13.9 1.307E-07   7.26  13.5   2.58  13.9
  30  90 -82.5 111.65  8.95 17.7   .68 22.1 1.220E-03  10.04  15.4   2.42  13.9 5.687E-08   6.09  13.3   2.75  14.0
  30  95 -82.5 118.04 16.48 17.2  1.01 21.8 5.531E-04  13.26  16.0   2.32  13.9 2.462E-08   6.78  15.0   2.71  13.6
  30 100 -82.5 126.98 18.99 16.8  1.23 19.4 2.659E-04  26.23  16.7   2.10  13.9 1.102E-08  15.66  16.6   3.15  12.6
  30 105 -82.5 137.42 15.13 16.1  2.27 17.8 1.350E-04  33.74  16.7   1.97  13.9 5.098E-09  27.28  16.9   2.42  12.1
  30 110 -82.5 148.34 10.78 15.2  2.25 17.1 7.228E-05  43.91  16.6   1.71  13.8 2.475E-09  36.64  16.8   1.24  15.6
  30 115 -82.5 157.41  8.35 14.4  1.55 16.8 4.084E-05  45.55  16.5   1.58  13.7 1.291E-09  42.52  16.6   3.06  16.5
  30 120 -82.5 164.06  7.38 13.8   .85 16.8 2.391E-05  45.70  16.3   1.48  13.6 7.104E-10  45.97  16.5   4.67  16.4
  30 125 -82.5 168.69  7.23 13.5   .37 17.2 1.438E-05  44.62  16.2   1.37  13.5 4.059E-10  47.69  16.4   5.72  16.3
  30 130 -82.5 171.89  7.52 13.5   .18 18.6 8.845E-06  42.46  16.1   1.26  13.4 2.384E-10  48.15  16.3   6.30  16.2
  30 135 -82.5 174.11  7.97 13.5   .18 20.2 5.559E-06  39.38  15.9   1.13  13.2 1.431E-10  47.71  16.2   6.54  16.1
  30 140 -82.5 175.66  8.49 13.6   .19 20.8 3.566E-06  35.28  15.7    .99  12.9 8.746E-11  46.52  16.0   6.59  16.0
  30 145 -82.5 176.67  8.97 13.7   .16 20.9 2.345E-06  35.28  15.7    .99  12.9 5.459E-11  44.54  15.9   6.43  15.9
  30 150 -82.5 177.34  9.39 13.7   .11 20.9 1.579E-06  30.03  15.5    .85  12.3 3.477E-11  41.78  15.8   6.02  15.8
  30 155 -82.5 177.81  9.72 13.8   .08 20.8 1.087E-06  23.83  15.1    .75  11.5 2.258E-11  38.15  15.6   5.50  15.6
  30 160 -82.5 178.15  9.96 13.8   .06 20.6 7.626E-07  16.95  14.4    .74  22.6 1.493E-11  34.07  15.4   5.04  15.5
  30 165 -82.5 178.37 10.15 13.8   .03 20.0 5.491E-07  16.95  14.4    .74  22.6 1.014E-11  29.29  15.1   3.91  15.3
  30 170 -82.5 178.53 10.29 13.8   .02 18.8 4.034E-07  10.48  12.9    .81  21.9 7.036E-12  23.55  14.8   2.96  14.9
  30 175 -82.5 178.66 10.39 13.8   .02 17.1 2.996E-07  10.48  12.9    .81  21.9 4.942E-12  18.61  14.3   2.06  14.0
  30 180 -82.5 178.74 10.47 13.8   .02 16.6 2.284E-07   8.20  33.4    .94  21.6 3.612E-12  12.60  13.5   1.82  13.2
  30 185 -82.5 178.81 10.53 13.8   .02 16.0 1.747E-07  13.16  31.0   1.08  21.3 2.652E-12   9.01  11.5   1.59  12.9
  30 190 -82.5 178.85 10.57 13.8   .01 16.1 1.362E-07  13.16  31.0   1.08  21.3 1.992E-12   9.10  33.0   1.56  12.3
  30 195 -82.5 178.89 10.60 13.8   .01 15.8 1.064E-07  18.98  30.3   1.20  21.2 1.500E-12  12.63  31.4   1.16  12.8
  30 200 -82.5 178.92 10.63 13.8   .01 15.9 8.434E-08  18.98  30.3   1.20  21.2 1.152E-12  16.10  30.6    .83  13.0
  30 205 -82.5 178.94 10.64 13.8   .01 15.7 6.686E-08  18.98  30.3   1.20  21.2 8.846E-13  20.03  30.2   1.10  15.1
  30 210 -82.5 178.96 10.65 13.8   .01 15.9 5.369E-08  23.39  30.1   1.29  21.1 6.924E-13  23.29  29.9   1.57  15.7
  30 215 -82.5 178.97 10.66 13.8   .01 15.6 4.312E-08  23.39  30.1   1.29  21.1 5.424E-13  25.73  29.7   2.62  16.1
  30 220 -82.5 178.98 10.67 13.8   .00 15.7 3.489E-08  25.91  30.1   1.40  21.0 4.319E-13  27.91  29.6   3.21  16.2
  30 225 -82.5 178.98 10.68 13.8   .00 15.1 2.832E-08  25.91  30.1   1.40  21.0 3.465E-13  28.82  29.5   4.05  16.3
  30 230 -82.5 178.99 10.68 13.8   .00 13.0 2.303E-08  26.90  30.2   1.55  21.1 2.789E-13  29.71  29.6   4.50  16.4
  30 235 -82.5 178.99 10.68 13.8   .00 13.0 1.884E-08  26.90  30.2   1.55  21.1 2.264E-13  29.71  29.6   4.50  16.4
  30 240 -82.5 178.99 10.68 13.8   .00 13.0 1.542E-08  26.90  30.2   1.55  21.1 1.837E-13  29.71  29.6   4.50  16.4
  30  80 -77.5 118.70  1.82 19.2  2.31 13.5 7.305E-03  13.07  14.8   2.93  14.9 3.205E-07  11.75  14.0   1.85  15.1
  30  85 -77.5 116.27  4.27 19.2  3.10 13.5 3.359E-03  14.25  14.8   4.87  15.0 1.502E-07  12.89  14.0   3.01  15.1
  30  90 -77.5 117.28 11.43 18.8  4.18 12.5 1.539E-03  14.77  15.2   6.26  15.0 6.838E-08  11.54  13.8   5.03  15.2
  30  95 -77.5 121.10 20.10 17.9  4.66 11.7 7.204E-04  20.83  16.5   9.35  14.8 3.122E-08  10.81  15.6   8.40  14.9
  30 100 -77.5 126.42 22.97 16.9  5.54 21.6 3.466E-04  28.24  16.9  10.53  14.7 1.448E-08  20.01  17.2  11.59  14.1
  30 105 -77.5 133.86 19.74 15.9  7.99 20.2 1.735E-04  46.28  17.0  10.50  14.3 6.826E-09  33.08  17.2  11.68  13.7
  30 110 -77.5 142.66 15.12 15.0  8.97 19.7 9.079E-05  53.33  16.9   9.71  13.9 3.309E-09  44.15  16.9  10.49  15.3
  30 115 -77.5 151.26 11.91 14.5  8.89 19.4 4.958E-05  57.76  16.8   9.15  13.6 1.672E-09  51.79  16.7  10.88  15.6
  30 120 -77.5 158.51 10.48 14.3  8.53 19.3 2.813E-05  59.88  16.6   9.25  13.2 8.865E-10  56.25  16.6  10.71  15.4
  30 125 -77.5 164.08 10.35 14.3  8.24 19.5 1.650E-05  59.98  16.5   9.92  12.9 4.903E-10  58.39  16.4  10.32  15.1
  30 130 -77.5 168.14 10.87 14.3  8.15 20.3 9.940E-06  58.94  16.5  11.00  12.6 2.803E-10  58.92  16.4  10.17  14.7
  30 135 -77.5 171.04 11.63 14.4  8.22 21.0 6.138E-06  56.57  16.4  12.16  12.4 1.646E-10  58.28  16.3  10.50  14.4
  30 140 -77.5 173.10 12.40 14.4  8.31 21.3 3.884E-06  52.82  16.3  13.24  12.2 9.893E-11  56.62  16.2  11.27  14.0
  30 145 -77.5 174.54 13.08 14.5  8.37 21.4 2.517E-06  47.65  16.2  14.15  11.9 6.078E-11  53.96  16.1  12.26  13.8
  30 150 -77.5 175.54 13.60 14.5  8.41 21.4 1.670E-06  40.88  16.1  14.83  11.6 3.815E-11  50.31  16.0  13.22  13.6
