  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  80 -87.5 110.47   .70 17.8   .22 11.1 5.739E-03   4.99  14.4   2.34  13.9 2.695E-07   4.49  13.5   2.25  13.9
  30  85 -87.5 105.43  2.08 17.8   .10 11.1 2.466E-03   5.25  14.4   2.41  13.9 1.209E-07   4.53  13.5   2.47  13.9
  30  90 -87.5 109.57  6.47 17.6   .34 22.3 1.054E-03   6.34  15.3   2.34  13.9 4.956E-08   3.90  12.9   2.69  14.0
  30  95 -87.5 118.27 13.84 17.6   .49 22.3 4.802E-04  12.35  16.5   2.09  13.9 2.087E-08   3.92  13.6   2.43  13.5
  30 100 -87.5 126.62 15.51 17.3  1.05 18.8 2.320E-04  18.40  16.9   2.00  13.9 9.366E-09  11.89  16.8   3.21  12.5
  30 105 -87.5 142.51  6.59 16.3  2.23 17.6 1.190E-04  27.64  17.1   1.61  13.8 4.202E-09  24.81  17.2   2.35  12.1
  30 110 -87.5 161.20  1.15 11.0  1.43 17.0 6.769E-05  27.86  17.1   1.43  13.8 2.080E-09  30.52  17.1   1.80  16.6
  30 115 -87.5 174.96  2.68 29.7   .59 16.8 4.086E-05  26.24  17.1   1.32  13.7 1.144E-09  31.31  17.0   2.45  16.6
  30 120 -87.5 184.61  3.21 29.4   .26 17.5 2.557E-05  23.57  17.2   1.24  13.7 6.710E-10  29.99  17.1   2.65  16.5
  30 125 -87.5 191.75  2.59 29.9   .35 20.7 1.643E-05  23.57  17.2   1.24  13.7 4.090E-10  27.71  17.1   2.48  16.4
  30 130 -87.5 197.01  1.67 31.9   .36 21.4 1.081E-05  20.46  17.3   1.17  13.6 2.569E-10  25.06  17.2   2.11  16.4
  30 135 -87.5 201.04  1.78 11.9   .30 21.4 7.237E-06  17.24  17.4   1.11  13.6 1.646E-10  22.33  17.3   1.76  16.3
  30 140 -87.5 204.14  2.98 13.7   .23 21.5 4.925E-06  13.92  17.6   1.05  13.5 1.073E-10  19.71  17.4   1.49  16.3
  30 145 -87.5 206.52  4.25 14.3   .16 21.5 3.401E-06  10.51  17.9    .97  13.4 7.089E-11  17.40  17.5   1.31  16.2
  30 150 -87.5 208.14  5.28 14.5   .12 21.4 2.390E-06  10.51  17.9    .97  13.4 4.763E-11  15.50  17.6   1.19  16.1
  30 155 -87.5 209.26  6.21 14.7   .05 21.3 1.710E-06   6.90  18.5    .88  13.0 3.250E-11  13.16  17.7   1.06  16.0
  30 160 -87.5 210.12  6.96 14.8   .01 21.3 1.238E-06   3.68  20.7    .78  12.1 2.240E-11  10.94  17.8    .94  15.9
  30 165 -87.5 210.68  7.55 14.8   .02 20.8 9.127E-07   3.68  20.7    .78  12.1 1.570E-11   8.69  18.2    .87  15.7
  30 170 -87.5 211.09  8.00 14.8   .04 15.9 6.842E-07   4.52  25.5    .66  22.7 1.116E-11   6.37  18.6    .73  15.4
  30 175 -87.5 211.42  8.40 14.8   .06 15.4 5.184E-07   4.52  25.5    .66  22.7 8.018E-12   4.28  20.0    .75  14.9
  30 180 -87.5 211.64  8.67 14.8   .07 15.4 4.012E-07   9.10  27.1    .56  21.8 5.890E-12   3.25  22.7    .71  11.8
  30 185 -87.5 211.84  8.91 14.8   .06 15.3 3.121E-07   9.10  27.1    .56  21.8 4.351E-12   4.73  25.5    .76  22.8
  30 190 -87.5 211.97  9.09 14.8   .07 15.4 2.478E-07  14.46  27.6    .48  21.4 3.293E-12   6.85  26.6   1.13  22.3
  30 195 -87.5 212.09  9.24 14.8   .06 15.3 1.977E-07  14.46  27.6    .48  21.4 2.507E-12  10.13  27.1    .98  22.5
  30 200 -87.5 212.18  9.35 14.8   .06 15.3 1.597E-07  19.87  27.7    .45  21.1 1.950E-12  12.37  27.4   1.30  22.9
  30 205 -87.5 212.25  9.45 14.8   .06 15.3 1.301E-07  19.87  27.7    .45  21.1 1.539E-12  16.41  27.5    .88  12.1
  30 210 -87.5 212.32  9.52 14.8   .05 15.3 1.063E-07  24.66  27.8    .45  20.9 1.219E-12  20.30  27.6   1.30  14.5
  30 215 -87.5 212.37  9.58 14.8   .04 15.3 8.800E-08  24.66  27.8    .45  20.9 9.854E-13  24.00  27.7   1.82  15.1
  30 220 -87.5 212.41  9.62 14.8   .03 15.3 7.288E-08  24.66  27.8    .45  20.9 7.966E-13  27.31  27.7   2.85  15.4
  30 225 -87.5 212.44  9.65 14.8   .03 15.3 6.071E-08  28.38  27.9    .42  20.8 6.502E-13  30.12  27.7   3.39  15.6
  30 230 -87.5 212.47  9.68 14.8   .02 15.3 5.086E-08  28.38  27.9    .42  20.8 5.356E-13  32.25  27.7   3.73  15.6
  30 235 -87.5 212.49  9.70 14.8   .02 15.2 4.262E-08  28.38  27.9    .42  20.8 4.413E-13  33.45  27.7   4.71  15.7
  30 240 -87.5 212.51  9.71 14.8   .01 15.0 3.589E-08  30.68  27.9    .35  20.8 3.692E-13  33.92  27.8   4.90  15.8
  30  80 -82.5 114.11  1.21 18.0   .28 11.1 6.291E-03   7.91  14.4   2.41  13.9 2.860E-07   6.89  13.5   2.29  13.9
  30  85 -82.5 110.24  3.55 18.0   .23 11.1 2.789E-03   8.31  14.4   2.45  13.9 1.309E-07   7.16  13.5   2.58  13.9
  30  90 -82.5 112.33  9.85 17.8   .74 22.3 1.231E-03  10.38  15.5   2.39  13.9 5.687E-08   6.18  13.0   2.66  14.0
  30  95 -82.5 119.14 18.67 17.6  1.05 22.3 5.648E-04  13.93  16.1   2.28  13.9 2.488E-08   6.88  14.4   2.70  13.5
  30 100 -82.5 127.47 19.31 17.1  2.06 18.8 2.737E-04  28.42  17.0   2.08  13.9 1.128E-08  17.36  16.9   4.01  12.5
  30 105 -82.5 140.33  9.81 16.0  3.88 17.6 1.404E-04  36.02  17.1   1.92  13.9 5.149E-09  31.10  17.2   2.37  12.1
  30 110 -82.5 156.00  3.72 11.9  3.01 17.0 7.748E-05  40.29  17.0   1.72  13.8 2.493E-09  39.64  17.1   1.91  16.6
  30 115 -82.5 169.50  4.04 31.6  1.52 16.8 4.560E-05  40.81  16.9   1.55  13.8 1.329E-09  42.96  17.0   4.13  16.6
  30 120 -82.5 179.65  4.60 31.0   .50 17.5 2.807E-05  38.73  16.9   1.41  13.7 7.612E-10  42.83  16.9   5.16  16.5
  30 125 -82.5 187.27  4.31 31.4   .44 20.7 1.781E-05  35.49  16.9   1.31  13.7 4.562E-10  40.81  16.9   5.24  16.4
  30 130 -82.5 193.03  3.88 32.9   .57 21.4 1.158E-05  31.55  17.0   1.22  13.6 2.821E-10  38.00  16.9   4.82  16.4
  30 135 -82.5 197.42  4.24 11.5   .54 21.4 7.678E-06  27.42  17.0   1.12  13.6 1.786E-10  34.96  17.0   4.26  16.3
  30 140 -82.5 200.77  5.40 12.8   .46 21.5 5.179E-06  23.05  17.0   1.02  13.5 1.153E-10  31.93  17.0   3.79  16.3
  30 145 -82.5 203.33  6.67 13.4   .36 21.5 3.547E-06  18.25  17.2    .90  13.4 7.560E-11  29.06  17.0   3.40  16.2
  30 150 -82.5 205.04  7.77 13.7   .24 21.4 2.480E-06  18.25  17.2    .90  13.4 5.062E-11  26.30  17.0   2.96  16.1
  30 155 -82.5 206.31  8.78 13.9   .13 21.3 1.763E-06  12.85  17.5    .76  13.0 3.439E-11  23.10  17.1   2.55  16.0
  30 160 -82.5 207.28  9.58 14.0   .07 21.3 1.268E-06   7.13  18.6    .63  12.1 2.363E-11  19.94  17.1   2.26  15.9
  30 165 -82.5 207.90 10.20 14.0   .03 20.8 9.313E-07   7.13  18.6    .63  12.1 1.657E-11  16.57  17.3   1.79  15.7
  30 170 -82.5 208.39 10.68 14.1   .04 15.9 6.936E-07   2.95  21.5    .60  22.7 1.178E-11  12.87  17.5   1.30  15.4
  30 175 -82.5 208.76 11.09 14.1   .06 15.4 5.228E-07   2.95  21.5    .60  22.7 8.478E-12   9.12  18.2    .89  14.9
  30 180 -82.5 209.02 11.36 14.1   .08 15.4 4.016E-07   9.19  27.5    .68  21.8 6.239E-12   5.71  19.5    .65  11.8
  30 185 -82.5 209.23 11.60 14.1   .08 15.3 3.103E-07   9.19  27.5    .68  21.8 4.622E-12   3.29  21.4    .87  22.8
  30 190 -82.5 209.37 11.77 14.1   .09 15.4 2.442E-07  17.45  27.8    .82  21.4 3.516E-12   5.19  26.9   1.62  22.3
  30 195 -82.5 209.50 11.90 14.1   .08 15.3 1.929E-07  17.45  27.8    .82  21.4 2.690E-12  10.37  27.4   1.23  22.5
  30 200 -82.5 209.59 12.00 14.1   .07 15.3 1.544E-07  25.85  27.9    .96  21.1 2.087E-12  14.69  27.5   1.14  22.9
  30 205 -82.5 209.66 12.08 14.1   .06 15.3 1.242E-07  25.85  27.9    .96  21.1 1.629E-12  19.83  27.6    .76  12.1
  30 210 -82.5 209.72 12.14 14.1   .05 15.3 1.005E-07  33.62  27.9   1.07  20.9 1.281E-12  24.66  27.7   1.08  14.5
  30 215 -82.5 209.76 12.19 14.1   .05 15.3 8.195E-08  33.62  27.9   1.07  20.9 1.017E-12  29.14  27.7   1.76  15.1
