  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -87.50   17.3  35.2 20.4    .3 23.0    1.8  34.4 26.4   1.4 13.5
  30  85 -87.50   18.5  58.2 20.4    .3 23.0    4.0  54.4 26.4   1.5 13.5
  30  90 -87.50   19.3  69.2 19.5   1.0 21.3    8.6  66.6 25.1    .9 12.7
  30  95 -87.50   29.9  62.0 17.3   9.5 20.7   15.7  68.9 22.7   6.0 12.6
  30 100 -87.50   43.6 142.4 14.8  22.9 21.7    8.1 152.8 20.6  22.5 13.1
  30 105 -87.50   35.2 275.7 15.2  25.6 22.8   -9.8 286.3 21.3  34.0 13.7
  30 110 -87.50   13.9 368.0 16.0  19.2 11.7  -16.8 389.9 22.0  23.4 14.0
  30 115 -87.50   -1.1 417.1 16.4   9.8 12.1  -16.7 442.5 22.4  10.6 14.3
  30 120 -87.50   -8.9 439.4 16.6   3.7 12.0  -15.8 464.0 22.6   4.0 14.6
  30 125 -87.50  -12.6 449.5 16.7   1.1 11.3  -15.6 472.4 22.7   1.4 14.7
  30 130 -87.50  -14.4 454.1 16.6   1.1 22.1  -15.8 476.3 22.7    .8 13.7
  30 135 -87.50  -15.2 456.7 16.6   1.5 21.3  -16.4 478.3 22.6   1.0 12.5
  30 140 -87.50  -15.3 458.5 16.5   1.5 21.1  -17.1 479.5 22.5   1.0 12.2
  30 145 -87.50  -14.9 459.8 16.4   1.4 21.0  -18.0 480.2 22.5   1.0 12.1
  30 150 -87.50  -14.4 460.8 16.3   1.4 21.3  -18.8 480.7 22.4   1.0 12.5
  30 155 -87.50  -13.8 461.7 16.2   1.2 22.2  -19.6 481.0 22.3   1.0 13.5
  30 160 -87.50  -13.1 462.4 16.1   1.4 11.2  -20.4 481.2 22.2   1.2 14.4
  30 165 -87.50  -12.5 463.0 16.0   1.3 11.9  -21.1 481.3 22.2   1.2 14.9
  30 170 -87.50  -11.8 463.5 16.0   1.5 12.2  -21.7 481.4 22.1   1.3 15.3
  30 175 -87.50  -11.3 464.0 15.9   1.6 12.4  -22.3 481.4 22.1   1.4 15.3
  30 180 -87.50  -10.7 464.4 15.9   1.6 12.5  -22.8 481.4 22.0   1.5 15.5
