  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  75 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  70 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  65 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  60 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  55 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  50 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  45 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  40 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  35 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  30 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  25 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  20 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  15 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  10 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30   5 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30   0 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  80 -82.50   69.9  78.0 17.7  73.3  4.9  -12.7  79.1 23.3  73.5 10.1
  30  75 -82.50   69.9  78.0 17.7  73.3  4.9  -12.7  79.1 23.3  73.5 10.1
  30  70 -82.50   52.1  63.5 15.2  66.0  6.8    -.1  64.5 20.4  56.1 10.4
  30  65 -82.50   32.2  53.3 22.5  50.6  6.5   -2.5  43.2   .4  44.1  8.6
  30  60 -82.50   34.0  49.1 15.5  42.8 11.1     .5  46.0 20.8  43.4 11.2
  30  55 -82.50   19.4  51.9 10.6  44.9  3.5   -6.2  51.9 15.8  38.0  6.6
  30  50 -82.50   29.4  46.2 17.0  33.2  6.7   -5.0  49.1 22.5  30.4  9.7
  30  45 -82.50   24.4  38.6 19.5  20.9  3.5     .0  32.2  1.3  22.1  3.7
  30  40 -82.50   30.0  35.6   .6  20.4  5.9    -.3  36.1  5.8  18.9  9.4
  30  35 -82.50   30.5  22.6  3.2  15.2  6.5    1.7  23.6  9.0  14.8 10.5
  30  30 -82.50   23.4  11.1 16.8   9.2  4.5    -.4  10.6 23.4   9.0  7.9
  30  25 -82.50   16.9   7.3 16.3   5.6  5.2     .1   7.8 22.3   5.5  7.9
  30  20 -82.50   12.2   6.0 22.2   5.3  7.2    -.3   5.8  3.5   5.0 10.2
  30  15 -82.50    8.1   4.4 19.0   3.6  5.6     .3   4.0   .3   3.7  7.6
  30  10 -82.50    4.3   3.6 22.8   3.1  4.2     .3   3.6  4.6   3.3  7.6
  30   5 -82.50     .3   3.8  3.6   4.2  4.8    -.2   3.5  9.3   4.4  7.9
  30   0 -82.50     .3   3.8  3.6   4.2  4.8    -.2   3.5  9.3   4.4  7.9
  30  80 -75.00  130.9  47.6   .3  43.9  5.8  -11.3  51.8  3.7  45.8  5.8
  30  75 -75.00  105.2  52.3 17.7  46.4  5.4   -1.7  55.1  1.1  48.6  8.7
  30  70 -75.00  104.3  42.1 19.5  36.5  6.9   -7.3  51.0  3.0  44.6  9.6
