  Ls Hgt   Lat    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030  80 -90.0   66.3    .0 17.5    .0  7.3     .0    .0   .0    .0   .0
 030  75 -90.0   57.8    .0 17.5    .0  7.3     .0    .0   .0    .0   .0
 030  70 -90.0   49.4    .0 17.5    .0  7.3     .0    .0   .0    .0   .0
 030  65 -90.0   40.9    .0 17.5    .0  7.3     .0    .0   .0    .0   .0
 030  60 -90.0   32.5    .0 18.5    .0  6.9     .0    .0   .0    .0   .0
 030  55 -90.0   21.7    .0 18.6    .0  4.3     .0    .0   .0    .0   .0
 030  50 -90.0   15.2    .0 18.5    .0  4.4     .0    .0   .0    .0   .0
 030  45 -90.0   11.2    .0 15.5    .0  5.3     .0    .0   .0    .0   .0
 030  40 -90.0    7.1    .0 14.4    .0  6.3     .0    .0   .0    .0   .0
 030  35 -90.0    4.0    .0 10.2    .0  5.3     .0    .0   .0    .0   .0
 030  30 -90.0    5.0    .0 14.8    .0  6.7     .0    .0   .0    .0   .0
 030  25 -90.0    7.1    .0  1.7    .0  7.1     .0    .0   .0    .0   .0
 030  20 -90.0    8.3    .0  2.9    .0  4.7     .0    .0   .0    .0   .0
 030  15 -90.0    8.1    .0  2.9    .0  5.4     .0    .0   .0    .0   .0
 030  10 -90.0    7.5    .0  4.2    .0  5.0     .0    .0   .0    .0   .0
 030   9 -90.0    7.4    .0  3.3    .0  4.5     .0    .0   .0    .0   .0
 030   8 -90.0    7.3    .0  5.1    .0  3.7     .0    .0   .0    .0   .0
 030   7 -90.0    7.0    .0  4.5    .0  4.6     .0    .0   .0    .0   .0
 030   6 -90.0    6.5    .0  3.7    .0  5.3     .0    .0   .0    .0   .0
 030   5 -90.0    5.8    .0  3.4    .0  4.9     .0    .0   .0    .0   .0
 030   4 -90.0    4.6    .0  3.4    .0  4.4     .0    .0   .0    .0   .0
 030   3 -90.0    2.4    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030   2 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030   1 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030   0 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030  -1 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030  -2 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030  -3 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030  -4 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030  -5 -90.0    3.7    .0  5.6    .0  4.8     .0    .0   .0    .0   .0
 030  80 -82.5   71.1  10.8 17.5  16.8  7.3     .0    .0   .0    .0   .0
 030  75 -82.5   64.1  10.8 17.5  16.8  7.3     .0    .0   .0    .0   .0
 030  70 -82.5   57.2  10.8 17.5  16.8  7.3     .0    .0   .0    .0   .0
 030  65 -82.5   50.2  10.8 17.5  16.8  7.3     .0    .0   .0    .0   .0
 030  60 -82.5   43.3  13.7 18.5  15.9  6.9     .0    .0   .0    .0   .0
 030  55 -82.5   35.2   9.1 18.6   5.6  4.3     .0    .0   .0    .0   .0
 030  50 -82.5   28.8   6.6 18.5   6.6  4.4     .0    .0   .0    .0   .0
 030  45 -82.5   23.4   4.2 15.5   7.2  5.3     .0    .0   .0    .0   .0
 030  40 -82.5   17.9   2.4 14.4   2.8  6.3     .0    .0   .0    .0   .0
 030  35 -82.5   13.5   2.1 10.2   1.7  5.3     .0    .0   .0    .0   .0
 030  30 -82.5   12.7   1.9 14.8   2.6  6.7     .0    .0   .0    .0   .0
 030  25 -82.5   13.5   1.4  1.7   1.7  7.1     .0    .0   .0    .0   .0
 030  20 -82.5   13.8   1.5  2.9   1.4  4.7     .0    .0   .0    .0   .0
 030  15 -82.5   12.6   1.8  2.9    .8  5.4     .0    .0   .0    .0   .0
 030  10 -82.5   10.8   1.8  4.2    .9  5.0     .0    .0   .0    .0   .0
 030   9 -82.5   10.4   1.4  3.3    .7  4.5     .0    .0   .0    .0   .0
 030   8 -82.5   10.0   1.3  5.1    .8  3.7     .0    .0   .0    .0   .0
 030   7 -82.5    9.4   1.5  4.5    .9  4.6     .0    .0   .0    .0   .0
 030   6 -82.5    8.7   2.2  3.7   1.2  5.3     .0    .0   .0    .0   .0
 030   5 -82.5    7.7   2.2  3.4   1.2  4.9     .0    .0   .0    .0   .0
 030   4 -82.5    6.3   1.7  3.4   1.4  4.4     .0    .0   .0    .0   .0
 030   3 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030   2 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030   1 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030   0 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030  -1 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030  -2 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030  -3 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030  -4 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030  -5 -82.5    4.1   2.0  5.6   1.8  4.8     .0    .0   .0    .0   .0
 030  80 -75.0   85.6   9.8 16.4  11.6  8.4   -8.5  13.3 13.1  11.8  4.8
 030  75 -75.0   83.1   9.8 16.4  11.6  8.4   -6.7  13.3 13.1  11.8  4.8
 030  70 -75.0   80.6   9.8 16.4  11.6  8.4   -4.8  13.3 13.1  11.8  4.8
 030  65 -75.0   78.1   9.8 16.4  11.6  8.4   -3.0  13.3 13.1  11.8  4.8
