  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -87.50    1.3   6.7 17.4    .0 18.5     .1   6.7 23.4    .0 21.3
  30  85 -87.50    2.4  14.1 17.4    .0 18.5     .2  14.1 23.4    .0 21.3
  30  90 -87.50    3.7  26.3 17.0    .2 17.3     .3  26.7 22.9    .2 20.1
  30  95 -87.50    4.9  42.0 16.4    .3 16.4     .4  42.9 22.4    .3 19.1
  30 100 -87.50    5.1  56.6 16.0    .3 15.6     .4  58.2 22.0    .3 18.3
  30 105 -87.50    4.9  66.8 15.9    .2 15.0     .4  68.4 21.8    .2 17.7
  30 110 -87.50    5.2  73.4 16.0    .2 14.6     .3  74.1 21.8    .1 17.3
  30 115 -87.50    5.9  76.8 16.2    .1 14.3    -.1  76.4 22.0    .1 17.0
  30 120 -87.50    6.8  78.5 16.4    .2 14.1    -.6  77.1 22.2    .2 16.9
  30 125 -87.50    7.4  79.1 16.6    .1 14.0   -1.2  77.1 22.4    .1 16.8
  30 130 -87.50    8.0  79.1 16.7    .1 13.9   -1.6  76.8 22.5    .1 16.7
  30 135 -87.50    8.3  78.8 16.8    .1 13.8   -1.9  76.4 22.7    .1 16.7
  30 140 -87.50    8.6  78.5 16.9    .1 13.8   -2.2  76.1 22.8    .1 16.6
  30 145 -87.50    8.8  78.2 16.9    .1 13.7   -2.4  75.8 22.8    .1 16.6
  30 150 -87.50    8.9  78.0 17.0    .1 13.7   -2.6  75.6 22.9    .1 16.6
  30 155 -87.50    9.0  77.9 17.0    .1 13.6   -2.7  75.5 23.0    .1 16.5
  30 160 -87.50    9.1  77.8 17.1    .1 13.6   -2.9  75.4 23.0    .1 16.5
  30 165 -87.50    9.2  77.8 17.1    .1 13.6   -3.0  75.4 23.0    .1 16.5
  30 170 -87.50    9.2  77.7 17.2    .1 13.6   -3.0  75.3 23.1    .1 16.5
  30  80 -82.50    3.8   6.7 17.4   1.2 18.5     .0   6.6 23.4   1.1 21.3
  30  85 -82.50    6.6  13.8 17.4   2.3 18.5     .0  13.9 23.4   2.2 21.3
  30  90 -82.50   10.3  25.5 17.0   4.6 17.3     .0  26.3 23.0   4.5 20.1
  30  95 -82.50   13.9  40.5 16.5   7.0 16.4    -.2  42.6 22.5   6.8 19.1
  30 100 -82.50   15.8  54.8 16.1   8.4 15.6    -.2  57.8 22.0   8.1 18.3
  30 105 -82.50   17.0  65.3 16.0   9.0 15.0    -.4  68.0 21.9   8.5 17.7
  30 110 -82.50   18.8  72.3 16.1   9.0 14.6   -1.2  73.8 21.9   8.3 17.3
  30 115 -82.50   21.0  76.5 16.3   8.9 14.3   -2.8  76.5 22.1   8.2 17.0
  30 120 -82.50   23.0  78.9 16.5   8.8 14.1   -4.4  77.7 22.3   7.9 16.9
  30 125 -82.50   24.5  80.1 16.7   8.7 14.0   -5.8  78.3 22.5   7.7 16.8
  30 130 -82.50   25.5  80.6 16.8   8.6 13.9   -6.8  78.5 22.7   7.5 16.7
  30 135 -82.50   26.2  80.7 16.9   8.6 13.8   -7.4  78.6 22.8   7.4 16.7
  30 140 -82.50   26.7  80.7 17.0   8.6 13.8   -7.9  78.7 22.9   7.3 16.6
  30 145 -82.50   27.0  80.7 17.1   8.6 13.7   -8.2  78.7 23.0   7.2 16.6
  30 150 -82.50   27.3  80.7 17.1   8.6 13.7   -8.5  78.7 23.1   7.2 16.6
  30 155 -82.50   27.5  80.7 17.2   8.6 13.6   -8.7  78.8 23.1   7.2 16.5
  30 160 -82.50   27.6  80.7 17.2   8.7 13.6   -8.9  78.8 23.2   7.2 16.5
  30 165 -82.50   27.7  80.7 17.3   8.7 13.6   -9.1  78.9 23.2   7.2 16.5
  30 170 -82.50   27.8  80.8 17.3   8.7 13.6   -9.2  78.9 23.2   7.2 16.5
  30  80 -77.50    5.6   6.4 17.4   3.5 18.6     .0   6.3 23.5   3.4 21.5
  30  85 -77.50    9.3  12.7 17.4   6.2 18.6     .0  12.9 23.5   6.1 21.5
  30  90 -77.50   14.8  23.1 17.1  12.4 17.4    -.2  24.6 23.1  12.3 20.2
  30  95 -77.50   20.6  36.6 16.6  19.0 16.4    -.7  40.3 22.6  18.9 19.2
  30 100 -77.50   25.1  50.2 16.3  23.4 15.6   -1.1  55.7 22.2  23.2 18.4
  30 105 -77.50   28.4  60.5 16.2  25.0 15.0   -1.5  66.0 22.0  24.4 17.7
  30 110 -77.50   32.1  68.1 16.3  24.8 14.5   -3.0  72.2 22.0  23.9 17.3
