  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -87.50   22.9  34.6 17.7    .9 22.3     .5  35.0 23.3   1.0 12.7
  30  85 -87.50   23.4  54.8 17.7   1.0 22.3     .8  59.2 23.3   1.3 12.7
  30  90 -87.50   24.8  65.9 17.4   1.4 20.7    5.3  74.3 23.0   1.8 12.0
  30  95 -87.50   37.7  76.5 15.9   4.9 20.7   11.9  85.0 21.8   4.9 12.6
  30 100 -87.50   55.5 120.8 14.8  12.4 21.7    8.0 126.1 20.9  13.3 13.2
  30 105 -87.50   56.8 194.1 14.9  21.4 22.7   -8.4 202.2 21.1  25.5 13.6
  30 110 -87.50   40.7 265.8 15.6  25.3 11.4  -20.0 286.3 21.7  27.9 13.8
  30 115 -87.50   21.7 315.9 16.2  18.3 11.7  -21.6 346.0 22.2  17.8 13.8
  30 120 -87.50    9.8 343.5 16.6   8.7 11.6  -19.3 374.1 22.5   7.6 13.7
  30 125 -87.50    4.0 356.0 16.7   2.6 11.1  -17.5 384.0 22.6   1.9 13.1
  30 130 -87.50    1.6 360.6 16.7   1.3 22.3  -16.9 386.0 22.6    .9 11.8
  30 135 -87.50    1.0 361.8 16.6   2.1 21.4  -17.0 385.0 22.6   1.7 22.8
  30 140 -87.50    1.3 361.7 16.5   2.1 20.8  -17.5 383.2 22.5   1.8 22.5
  30 145 -87.50    2.0 361.1 16.4   1.8 20.5  -18.2 381.3 22.4   1.5 22.3
  30 150 -87.50    2.8 360.5 16.3   1.4 20.4  -18.9 379.5 22.3   1.2 22.4
  30 155 -87.50    3.6 359.9 16.2   1.0 20.5  -19.5 378.1 22.3    .9 22.6
  30 160 -87.50    4.3 359.5 16.1    .9 20.9  -20.1 377.0 22.2    .8 11.2
  30 165 -87.50    5.0 359.2 16.1    .9 22.3  -20.5 376.0 22.1    .8 12.5
  30 170 -87.50    5.5 358.9 16.0   1.1 11.8  -21.0 375.4 22.1    .9 14.0
  30 175 -87.50    5.9 358.8 16.0   1.3 12.3  -21.3 374.8 22.1   1.0 14.6
  30 180 -87.50    6.2 358.6 15.9   1.2 12.5  -21.5 374.4 22.0   1.0 14.8
  30 185 -87.50    6.5 358.5 15.9   1.3 12.6  -21.7 374.1 22.0   1.0 15.0
  30 190 -87.50    6.7 358.4 15.9   1.1 12.7  -21.8 373.8 22.0    .9 15.0
