  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -87.50   17.2  34.9 20.5    .3 22.9    1.7  34.2 26.4   1.4 13.5
  30  85 -87.50   18.4  57.3 20.5    .3 22.9    3.9  53.5 26.4   1.4 13.5
  30  90 -87.50   19.6  68.3 19.4   1.2 21.3    8.0  65.8 25.0   1.1 12.7
  30  95 -87.50   30.2  67.0 17.6   7.1 20.8   14.0  72.9 23.0   4.3 12.8
  30 100 -87.50   46.4 119.6 15.2  17.3 21.5    8.3 130.5 21.0  16.4 13.0
  30 105 -87.50   45.1 231.2 15.2  24.5 22.4  -10.3 240.4 21.1  30.4 13.4
  30 110 -87.50   26.8 319.6 15.7  21.5 11.1  -20.1 337.0 21.7  26.0 13.6
  30 115 -87.50   11.8 371.9 16.1  13.0 11.5  -20.9 395.9 22.1  14.8 13.7
  30 120 -87.50    3.3 398.8 16.4   6.0 11.4  -19.4 425.2 22.3   6.8 13.6
  30 125 -87.50   -1.2 411.7 16.4   2.1 22.9  -18.0 438.7 22.4   2.8 13.4
  30 130 -87.50   -3.1 417.7 16.4   1.1 22.0  -16.9 444.6 22.4   1.2 12.8
  30 135 -87.50   -3.8 420.0 16.4   1.6 21.1  -16.0 446.8 22.3   1.2 12.0
  30 140 -87.50   -3.8 420.7 16.3   1.8 20.5  -15.3 447.5 22.3   1.3 11.3
  30 145 -87.50   -3.5 421.0 16.2   1.6 20.1  -14.6 447.5 22.2   1.0 22.8
  30 150 -87.50   -2.8 420.9 16.1   1.3 19.9  -14.1 447.1 22.1    .8 22.6
  30 155 -87.50   -2.1 420.9 16.1    .9 19.7  -13.6 446.7 22.1    .4 22.3
  30 160 -87.50   -1.5 420.9 16.0    .6 19.6  -13.1 446.3 22.0    .2 22.1
  30 165 -87.50    -.8 420.8 15.9    .5 19.8  -12.7 445.9 21.9    .4 21.9
  30 170 -87.50    -.2 420.9 15.9    .6 12.4  -12.3 445.6 21.9    .6 16.1
  30 175 -87.50     .3 421.0 15.8    .9 13.1  -12.0 445.4 21.9    .8 15.9
  30 180 -87.50     .7 421.1 15.8   1.0 13.1  -11.7 445.2 21.8   1.0 15.8
  30 185 -87.50    1.1 421.2 15.7   1.2 13.1  -11.4 445.1 21.8   1.1 15.8
  30 190 -87.50    1.4 421.2 15.7   1.2 13.1  -11.1 445.0 21.8   1.1 15.7
  30 195 -87.50    1.7 421.3 15.7   1.3 13.1  -10.9 444.9 21.7   1.1 15.6
  30 200 -87.50    1.9 421.4 15.6   1.1 13.1  -10.7 444.9 21.7   1.1 15.6
  30 205 -87.50    2.1 421.4 15.6   1.2 13.0  -10.5 444.8 21.7   1.0 15.6
  30 210 -87.50    2.3 421.4 15.6   1.0 13.0  -10.3 444.8 21.7    .9 15.6
  30 215 -87.50    2.4 421.5 15.6    .9 13.0  -10.1 444.8 21.7    .8 15.5
  30 220 -87.50    2.5 421.5 15.6    .9 13.0  -10.0 444.8 21.7    .7 15.5
  30 225 -87.50    2.6 421.5 15.6    .7 13.0   -9.8 444.8 21.7    .6 15.5
  30 230 -87.50    2.7 421.5 15.6    .6 13.0   -9.7 444.8 21.7    .5 15.5
  30 235 -87.50    2.8 421.5 15.6    .5 13.0   -9.6 444.8 21.7    .4 15.3
  30 240 -87.50    2.8 421.4 15.6    .4 13.0   -9.6 444.8 21.7    .3 14.5
  30  80 -82.50   45.7  29.8 20.6    .9 22.9    1.9  29.0 26.5   1.6 13.5
  30  85 -82.50   48.9  52.0 20.6    .9 22.9    6.4  48.4 26.5   1.7 13.5
  30  90 -82.50   52.9  65.6 19.5   2.1 21.3   13.1  62.4 25.1   2.0 12.7
  30  95 -82.50   67.6  69.7 17.7   8.0 20.8   20.2  76.3 23.3   6.7 12.8
  30 100 -82.50   87.6 114.1 15.7  18.1 21.5    8.2 131.8 21.6  21.4 13.0
  30 105 -82.50   83.7 203.8 15.5  25.0 22.4  -17.7 225.8 21.5  34.0 13.4
  30 110 -82.50   59.0 273.5 15.9  22.5 11.1  -31.7 309.6 21.9  29.5 13.6
  30 115 -82.50   36.0 315.4 16.2  15.2 11.5  -31.5 364.1 22.1  17.6 13.7
  30 120 -82.50   21.3 339.3 16.4   8.3 11.4  -27.5 393.1 22.3   8.7 13.6
  30 125 -82.50   12.1 352.6 16.4   4.0 22.9  -23.8 407.3 22.3   3.9 13.4
  30 130 -82.50    6.3 360.0 16.4   2.4 22.0  -20.7 414.0 22.3   1.9 12.8
  30 135 -82.50    2.6 364.1 16.4   2.3 21.1  -18.2 417.1 22.3   1.4 12.0
  30 140 -82.50     .1 366.3 16.3   2.3 20.5  -16.1 418.6 22.2   1.3 11.3
  30 145 -82.50   -1.5 367.7 16.3   2.0 20.1  -14.3 419.2 22.2   1.0 22.8
  30 150 -82.50   -2.3 368.7 16.2   1.6 19.9  -12.9 419.4 22.1    .8 22.6
  30 155 -82.50   -2.8 369.3 16.1   1.1 19.7  -11.8 419.3 22.1    .5 22.3
  30 160 -82.50   -3.2 369.9 16.0    .7 19.6  -10.8 419.2 22.0    .3 22.1
  30 165 -82.50   -3.3 370.3 16.0    .5 19.8   -9.9 419.0 22.0    .2 21.9
  30 170 -82.50   -3.4 370.7 15.9    .4 12.4   -9.2 418.9 22.0    .3 16.1
  30 175 -82.50   -3.4 371.0 15.9    .7 13.1   -8.6 418.7 21.9    .5 15.9
  30 180 -82.50   -3.4 371.3 15.8    .9 13.1   -8.0 418.6 21.9    .6 15.8
  30 185 -82.50   -3.3 371.5 15.8   1.1 13.1   -7.5 418.5 21.9    .7 15.8
  30 190 -82.50   -3.3 371.6 15.8   1.1 13.1   -7.1 418.4 21.9    .7 15.7
  30 195 -82.50   -3.3 371.8 15.7   1.3 13.1   -6.7 418.3 21.9    .7 15.6
  30 200 -82.50   -3.2 371.9 15.7   1.1 13.1   -6.3 418.2 21.8    .7 15.6
  30 205 -82.50   -3.2 372.0 15.7   1.2 13.0   -6.0 418.2 21.8    .6 15.6
  30 210 -82.50   -3.1 372.0 15.7   1.0 13.0   -5.7 418.2 21.8    .6 15.6
  30 215 -82.50   -3.1 372.1 15.7    .9 13.0   -5.5 418.1 21.8    .5 15.5
  30 220 -82.50   -3.1 372.1 15.7    .8 13.0   -5.2 418.1 21.8    .4 15.5
  30 225 -82.50   -3.1 372.2 15.7    .7 13.0   -5.1 418.1 21.8    .4 15.5
  30 230 -82.50   -3.0 372.2 15.7    .6 13.0   -4.9 418.1 21.8    .3 15.5
  30 235 -82.50   -3.0 372.2 15.6    .5 13.0   -4.8 418.1 21.8    .2 15.3
  30 240 -82.50   -3.0 372.2 15.6    .4 13.0   -4.7 418.1 21.8    .2 14.5
  30  80 -77.50   65.7  17.9 21.0   8.7 21.2     .8  16.2 26.7   9.0 11.9
  30  85 -77.50   70.9  38.4 21.0  10.3 21.2    6.4  35.2 26.7  12.4 11.9
  30  90 -77.50   77.2  54.2 20.0  14.0 20.0   12.4  51.6 25.5  17.3 11.3
  30  95 -77.50   90.3  66.1 18.2  19.6 19.7   16.9  76.8 24.0  23.3 11.2
  30 100 -77.50  106.3  96.8 16.6  26.0 20.0    5.8 131.3 22.7  29.2 11.2
  30 105 -77.50  103.2 146.9 16.2  29.7 20.3  -19.4 202.9 22.3  31.8 11.4
  30 110 -77.50   81.7 186.1 16.3  29.0 20.5  -34.0 266.5 22.3  28.9 11.8
  30 115 -77.50   58.9 212.5 16.5  25.2 20.6  -35.7 310.6 22.3  24.9 12.1
  30 120 -77.50   41.3 231.8 16.6  20.4 20.6  -32.6 335.9 22.2  22.3 12.2
  30 125 -77.50   28.7 245.9 16.6  16.7 20.4  -29.0 349.4 22.2  20.9 12.1
  30 130 -77.50   19.6 255.7 16.6  14.7 20.0  -25.8 356.5 22.2  20.2 11.9
  30 135 -77.50   13.1 262.5 16.5  13.8 19.6  -23.1 360.2 22.1  19.9 11.5
  30 140 -77.50    8.3 267.3 16.5  13.3 19.4  -20.9 362.1 22.1  19.7 11.2
  30 145 -77.50    4.8 270.7 16.4  13.0 19.2  -19.0 363.1 22.1  19.5 11.0
  30 150 -77.50    2.5 273.3 16.3  12.8 19.2  -17.6 363.5 22.1  19.3 22.9
  30 155 -77.50     .7 275.1 16.3  12.7 19.1  -16.4 363.6 22.1  19.2 22.8
  30 160 -77.50    -.7 276.6 16.2  12.5 19.1  -15.3 363.5 22.1  19.1 22.7
  30 165 -77.50   -1.7 277.7 16.2  12.4 19.2  -14.6 363.3 22.1  19.0 22.7
  30 170 -77.50   -2.4 278.5 16.1  12.4 21.6  -13.9 363.1 22.1  19.0 13.8
  30 175 -77.50   -3.0 279.2 16.1  12.7 15.9  -13.3 362.9 22.1  19.1 13.7
  30 180 -77.50   -3.4 279.7 16.0  13.0 16.0  -12.8 362.6 22.1  19.1 13.7
  30 185 -77.50   -3.8 280.2 16.0  13.1 16.0  -12.4 362.4 22.1  19.2 13.7
  30 190 -77.50   -4.0 280.5 16.0  13.3 16.0  -12.1 362.2 22.1  19.2 13.7
  30 195 -77.50   -4.2 280.8 16.0  13.4 16.0  -11.8 362.1 22.1  19.2 13.7
  30 200 -77.50   -4.3 281.0 16.0  13.4 16.0  -11.6 361.9 22.1  19.1 13.7
  30 205 -77.50   -4.4 281.1 15.9  13.4 16.0  -11.4 361.8 22.1  19.1 13.7
  30 210 -77.50   -4.5 281.2 15.9  13.4 16.0  -11.3 361.7 22.1  19.0 13.7
  30 215 -77.50   -4.5 281.3 15.9  13.3 16.0  -11.2 361.6 22.1  19.0 13.7
  30 220 -77.50   -4.6 281.4 15.9  13.3 16.0  -11.1 361.5 22.1  18.9 13.7
  30 225 -77.50   -4.6 281.5 15.9  13.2 22.0  -11.0 361.5 22.1  18.9 13.6
  30 230 -77.50   -4.6 281.5 15.9  13.2 22.0  -11.0 361.4 22.1  18.8 13.7
  30 235 -77.50   -4.6 281.5 15.9  13.1 22.0  -11.0 361.4 22.1  18.8 13.5
  30 240 -77.50   -4.6 281.5 15.9  13.1 22.0  -11.0 361.4 22.1  18.8 13.5
